N,P,K,temperature,humidity,ph,rainfall,crop_fertilizer
112,112,133,27.96346586310824,62.72236057037334,4.6389597897791255,262.2899618561641,Rice || Urea
50,129,92,34.720748843546474,75.95595678687832,6.734489347464757,112.16537623050645,Maize || NPK 15-15-15
24,84,138,12.335587927505792,87.28931250544329,8.114471479194842,172.1783874138573,Wheat || DAP
54,29,147,17.893956953948013,49.24916254173199,4.943979255687243,109.6221435881795,Cotton || Ammonium Sulfate
74,97,173,26.739212702487936,93.735173367194,5.208485830409678,187.22691341631764,Sugarcane || Muriate of Potash
98,24,82,21.140098761292148,58.182088228208414,6.214659297557939,124.91267935455413,Cotton || Ammonium Sulfate
80,57,55,27.869814878276518,51.0355211088237,5.006850940936955,120.06757383464355,Cotton || Ammonium Sulfate
18,80,115,12.626865028625337,60.29067095061743,6.76518457489635,49.10519510462453,Wheat || DAP
97,30,169,15.027932192524526,40.66384855423155,6.093601866437698,75.27049741691476,Cotton || Ammonium Sulfate
138,51,41,15.30450224567942,42.54235439072694,5.638383178143673,260.0987677277149,Rice || Urea
72,35,15,16.921374793816245,59.866042818099885,5.1799592520705495,279.5865829295791,Cotton || Ammonium Sulfate
90,117,185,23.942617460814112,80.74667131634601,5.841352953392841,227.32493820870553,Rice || Urea
42,129,175,31.55534618813285,89.01873437446946,6.931837403329368,108.83502994563683,Sugarcane || Muriate of Potash
132,23,154,35.54400978615143,74.88907944297625,6.803140843557646,136.5868332264622,Sugarcane || Muriate of Potash
14,66,83,33.7196857873904,41.31317331429018,5.154496000840935,217.48082917745984,Maize || NPK 15-15-15
50,46,123,17.119084666167772,75.3211857308321,4.999679242962534,272.44325365196755,Sugarcane || Muriate of Potash
37,67,36,23.469914357996444,73.12567524217832,4.606707050435491,149.31308097504822,Maize || NPK 15-15-15
81,30,63,17.18470154172191,83.34583509759987,4.549702375175729,239.0853796692099,Rice || Urea
21,91,187,18.876267233346958,84.51491999913085,8.01924174287874,274.01654142369205,Wheat || DAP
42,78,172,25.092221519309042,87.09218454673874,4.68035542402156,249.63356105344104,Sugarcane || Muriate of Potash
57,12,94,13.770834642811586,59.8478908747459,7.424884439492985,94.51593922511847,Wheat || DAP
71,96,136,17.6725325694251,76.87186372112865,7.987940384979828,41.927647330149505,Wheat || DAP
46,99,162,36.31983219398505,51.095021535338645,4.89223139424983,158.09960929321963,Cotton || Ammonium Sulfate
108,46,165,24.119023609120713,94.96017679901026,6.2452056953320705,167.52659960686404,Sugarcane || Muriate of Potash
113,97,120,23.580049675424675,45.5200544826116,8.349211932697106,88.30008749228071,Cotton || Ammonium Sulfate
44,58,24,12.378746023533251,35.606865899650145,7.83655464209434,108.32185406723623,Wheat || DAP
110,28,141,18.43239342351699,43.928522871090564,6.458816127431421,223.63675860365126,Rice || Urea
10,124,102,34.52360333553671,81.5523373726476,7.5502844511662115,152.8833420911521,Cotton || Ammonium Sulfate
14,98,132,16.280339134725388,61.80702059049269,7.833510497726655,116.1649800640616,Wheat || DAP
112,94,82,22.793248427902746,61.8500148686257,5.892107852754878,189.43024656686066,Rice || Urea
36,21,164,12.372603552542033,92.3013751767001,8.068611667479843,196.66234143427008,Wheat || DAP
24,70,163,24.43672252343445,90.17809448168445,6.3818932787086275,224.65498644179252,Sugarcane || Muriate of Potash
99,50,156,12.546548774881646,53.671684268240554,6.611229454235319,77.61023098310059,Wheat || DAP
51,42,101,33.3098483797108,47.54348772685197,8.498830551287323,217.96414055847768,Cotton || Ammonium Sulfate
133,59,26,33.4461979546647,85.90893259602439,7.8732118646086455,183.86281410650045,Rice || Urea
72,126,52,32.48129689586162,89.36114426266178,5.94708002309192,53.81724767267131,Maize || NPK 15-15-15
105,77,130,19.367465791169074,67.49581536790922,4.5413823858908,226.58695078081868,Rice || Urea
61,115,50,33.768167673767266,72.76542266702603,7.004696295175579,131.9392675199644,Maize || NPK 15-15-15
105,80,179,26.117951447737003,50.414857081537605,7.315653704512432,119.29142423911301,Cotton || Ammonium Sulfate
38,95,187,21.719010830542064,83.04816127871148,7.103210760573519,147.53803637959226,Wheat || DAP
45,128,177,28.258578952310057,72.9273457069414,8.371449404652852,123.08201855347097,Sugarcane || Muriate of Potash
22,42,48,12.320867197569724,65.21081067787979,7.951884109328577,121.18854213037818,Wheat || DAP
80,90,122,15.716982817619556,38.60651336470375,6.2953267727225946,233.9386402481501,Cotton || Ammonium Sulfate
95,33,160,31.299631992426832,89.95609775066922,4.751429949889523,69.88126104776615,Sugarcane || Muriate of Potash
37,70,120,18.348201826619977,71.92708522306435,6.4042350780079875,272.94401628579004,Cotton || Ammonium Sulfate
75,70,189,27.548237050547492,46.56146568157808,7.2569760798480925,173.18359464984238,Cotton || Ammonium Sulfate
54,107,56,22.012667673398774,71.38316701898316,6.930839232908019,83.9017596211151,Maize || NPK 15-15-15
71,37,72,34.2249502487808,75.6478012543984,6.652548270843539,71.49171590360476,Cotton || Ammonium Sulfate
37,67,119,36.76279795591273,66.54622020099353,6.375275832060965,181.96228771239583,Cotton || Ammonium Sulfate
37,52,78,34.97268293762495,78.08610427736136,5.675047492109545,191.91986652326273,Cotton || Ammonium Sulfate
117,50,52,19.036119862033512,69.88723687571746,5.609387046898517,52.72618504715459,Cotton || Ammonium Sulfate
53,48,185,17.04823459519814,91.86617492192889,6.500925915703208,98.3204593909086,Wheat || DAP
93,95,43,24.33530723413911,38.22182471595841,5.142412585718596,230.91086109315216,Rice || Urea
39,58,49,12.190687921740688,41.37474250817363,5.862741694299206,51.90991065844612,Cotton || Ammonium Sulfate
84,26,212,12.671044214442725,45.420298217260395,5.795917098840398,245.22127933744866,Rice || Urea
137,107,70,26.385556630198003,76.41026423625993,6.848531206336803,197.95899436632004,Rice || Urea
101,79,187,25.531684508297435,73.73575236498851,4.766729201452098,144.26158224716914,Sugarcane || Muriate of Potash
138,119,204,37.85913171491676,88.52353161258165,7.818674721060381,123.14388375301981,Sugarcane || Muriate of Potash
130,79,71,17.24788771945771,78.9726471730339,6.749513521537608,44.61975132373455,Maize || NPK 15-15-15
36,107,67,18.71070215817218,65.50132925387554,7.183306723103741,238.05158698044232,Maize || NPK 15-15-15
130,74,170,14.952056700483453,94.50990754781782,7.312375615037731,74.25324495244914,Wheat || DAP
125,83,84,35.85611825099736,50.966477370157946,5.665936547370146,114.29007804690114,Maize || NPK 15-15-15
12,94,25,32.22309235591972,84.99149958712724,6.381486269539466,176.58567528707292,Maize || NPK 15-15-15
112,14,91,33.380816897878034,60.60742233163516,8.324983823478668,99.03822401710102,Cotton || Ammonium Sulfate
71,11,103,35.47185848707723,73.92410833254405,7.56682095198726,159.31371130052833,Cotton || Ammonium Sulfate
60,31,57,25.647399654871794,78.63610822714604,8.378227500892741,234.24227889728857,Cotton || Ammonium Sulfate
68,121,147,23.731022977718816,73.02524523142017,7.485017380585154,152.92910434966598,Sugarcane || Muriate of Potash
127,66,91,20.590178315306026,43.430438186515595,5.20240055883407,267.75456258870304,Rice || Urea
105,75,47,27.31957997304424,61.577060644875964,4.758143535378705,243.400148890322,Rice || Urea
122,83,136,23.811238316535388,68.68630267598746,6.810645746878654,119.92941648721461,Sugarcane || Muriate of Potash
71,107,28,23.740705251744952,85.9426255507158,5.931253118810439,135.99090990014506,Maize || NPK 15-15-15
61,25,173,36.36012445700961,61.618744927914335,5.601831640552681,141.59841448540652,Sugarcane || Muriate of Potash
21,121,196,37.58481937125738,90.12483828825509,7.72884398570167,190.28306870188354,Sugarcane || Muriate of Potash
48,60,72,32.708594122569096,61.42245338151264,5.967973068327789,108.83097500524956,Cotton || Ammonium Sulfate
139,48,86,31.675710346420136,67.9267915557807,5.768003878937216,272.61979331740207,Rice || Urea
122,95,183,29.694512206256636,82.77714097656806,7.899950372676042,186.08421294484023,Rice || Urea
110,85,140,16.317946160671355,69.98406106532862,7.885149345945841,135.85639809787205,Wheat || DAP
122,97,211,13.536751342767017,92.61308434296947,5.925466551020227,194.80235571797616,Rice || Urea
90,120,111,29.95888419294484,74.62014983084765,7.829994803943865,134.89720252712982,Cotton || Ammonium Sulfate
122,49,74,30.948441778670976,66.36256724405607,7.903113961330642,236.27096343506054,Rice || Urea
11,47,129,13.221297768551635,36.41551806684775,6.195722140118665,176.2818305324131,Cotton || Ammonium Sulfate
139,69,100,36.129345505950056,59.82397385481979,4.765892520836687,50.07292081745608,Cotton || Ammonium Sulfate
63,68,17,14.369656625561616,52.95490515560962,4.50633857786536,82.42164818163059,Maize || NPK 15-15-15
96,19,188,19.43341387805126,79.88634007324936,6.59316985155598,247.5985535270883,Rice || Urea
138,108,218,29.482135132766317,47.496660509212745,5.876301973481423,175.09595832562957,Cotton || Ammonium Sulfate
135,73,82,16.416687454516385,47.31320523764431,8.488527576633464,268.0824343633372,Rice || Urea
139,124,143,13.440813099498355,46.371142594242606,7.589643998509137,57.38135508656435,Wheat || DAP
62,72,116,20.609808718267892,42.53693678937415,7.54510182540165,110.86255122063375,Wheat || DAP
77,58,98,31.915260946234657,53.66042022025324,8.320971073149375,86.45040957749742,Cotton || Ammonium Sulfate
132,73,48,22.755645653616767,88.1553268666055,8.050897591573284,172.9216701348967,Maize || NPK 15-15-15
47,41,122,28.977295969606423,81.4957083383573,5.772749917825555,131.87027945917825,Sugarcane || Muriate of Potash
33,16,197,27.070096527931554,79.11507297840761,5.163948886415506,77.74564817833436,Sugarcane || Muriate of Potash
78,30,37,12.577680532665092,82.84020833899777,7.483569060261929,194.26045935029126,Wheat || DAP
125,29,106,37.70203966318837,51.1650733597743,6.0130955747314925,168.71160779132475,Cotton || Ammonium Sulfate
107,35,191,13.077130309304081,88.24650144514928,6.392690606523826,105.93670031111223,Sugarcane || Muriate of Potash
106,77,46,37.16287117886061,43.238202508496265,7.021590925099307,155.14512586777067,Maize || NPK 15-15-15
133,119,146,26.29646863747435,55.18074360293492,8.131490707740962,218.97719560988548,Rice || Urea
79,125,91,37.04213470369173,70.20488713804058,6.176351014683863,89.26520189215805,Maize || NPK 15-15-15
102,95,65,14.98359358475972,41.17430530052004,7.633267560877446,110.29737920841498,Maize || NPK 15-15-15
12,24,196,24.750621498823342,78.8078112665855,5.57335916509863,123.06663690258763,Sugarcane || Muriate of Potash
99,129,94,16.407106388517526,58.234762892208494,7.291887163694454,219.21434492824758,Rice || Urea
105,113,11,13.325346802583503,82.06433993650401,4.5063176843116475,243.26142389221766,Rice || Urea
61,94,198,28.0557569916201,64.57377713507617,7.986028853962539,130.33323914598662,Sugarcane || Muriate of Potash
137,88,67,17.40236894500398,45.85247146552018,4.62151831981785,111.18900684014038,Maize || NPK 15-15-15
48,95,116,27.280122475476194,79.08570868132065,7.351015019050337,253.46722200440252,Cotton || Ammonium Sulfate
91,125,132,14.921476530673626,50.12863735033662,4.6850327570451356,279.8475837262429,Rice || Urea
113,101,197,20.631648257250273,64.44861807608257,5.564982797576014,200.88487351883177,Rice || Urea
138,23,177,32.32244650938443,39.531996149414454,6.488809614226213,277.59534759740336,Rice || Urea
20,36,173,23.36333956789688,72.0719992647222,6.179754741392953,198.3919066724584,Sugarcane || Muriate of Potash
51,114,123,28.321380787330746,74.95146597297664,5.267344458404042,216.03046528187798,Sugarcane || Muriate of Potash
108,49,116,28.833906459384195,57.72045259836702,5.835259646836949,133.2774403704433,Cotton || Ammonium Sulfate
16,67,46,33.937631143669634,92.26536681926443,7.410825480243869,143.91221127977283,Maize || NPK 15-15-15
99,37,88,20.447992654572673,87.4501352889241,7.1770283703185935,74.59255935745483,Wheat || DAP
121,35,101,29.869684627145457,77.47645494439968,4.787258335055663,237.46000354362957,Rice || Urea
69,122,27,37.00201098320031,77.81912446962457,7.489263302291546,263.45416741292803,Maize || NPK 15-15-15
122,72,107,30.98632669330457,50.14410289652908,4.712183524788113,189.6251520865869,Rice || Urea
11,75,72,24.736632394661356,74.40891386530694,6.671705556399138,122.47535402689563,Maize || NPK 15-15-15
138,34,159,28.39865355679016,46.89237591413118,5.540250992168763,76.96391808984791,Cotton || Ammonium Sulfate
57,129,148,31.231755341840813,43.64019343518933,6.850760510239276,103.63749512927558,Cotton || Ammonium Sulfate
46,12,195,27.919169908040683,94.96807365215481,5.545313583763607,101.29850100444239,Sugarcane || Muriate of Potash
18,81,194,12.433571150735817,72.34255588839045,8.439831878503323,187.24669219925752,Wheat || DAP
108,53,214,17.064110939867874,60.85927235943143,5.738912734910127,266.80899168726506,Rice || Urea
57,106,13,33.07217364760211,52.28987137303708,5.4678425426979835,51.58525286991555,Maize || NPK 15-15-15
63,51,144,19.088916830124603,71.23522661973365,5.613861163661384,40.24535190266752,Sugarcane || Muriate of Potash
129,125,70,31.02061510858948,37.97561049320517,8.085891429037181,184.04366663543814,Rice || Urea
125,108,116,21.67512559628417,40.680859430287704,7.044875314677379,108.17451089913166,Wheat || DAP
84,15,63,25.56899253210652,36.97140186442378,7.422736389683106,251.33160216134968,Rice || Urea
122,48,97,13.767305795304496,64.9501899957597,8.172042040377402,118.54007389739608,Wheat || DAP
113,61,77,16.711864587292446,71.03639775123095,8.14748993938003,109.53702412693343,Maize || NPK 15-15-15
93,32,216,36.8871210515001,38.74878568146925,7.45578338631491,104.68254909239134,Cotton || Ammonium Sulfate
121,98,138,35.14358938961976,78.27346804993499,5.291297715365292,74.76467854437858,Sugarcane || Muriate of Potash
108,59,64,28.959152883375307,48.82370429087386,7.8734932827000215,179.56731382650653,Cotton || Ammonium Sulfate
102,52,12,23.950759532029174,76.11208722619196,5.315104136764255,80.3712645602104,Cotton || Ammonium Sulfate
137,28,215,29.56979361527582,93.91382840211475,7.471595256393728,141.9114783496698,Sugarcane || Muriate of Potash
119,78,175,28.083867516442414,76.46635220323107,7.242412266179498,150.63329254135573,Sugarcane || Muriate of Potash
91,60,130,26.782358645719913,87.99158317541651,7.535555400561787,44.91809125071387,Sugarcane || Muriate of Potash
63,20,138,13.538603868452087,91.89191040458405,6.630742722855263,44.0337471570742,Wheat || DAP
77,129,111,28.45286787719918,64.20506290113893,7.0549047289968785,164.85104530163903,Cotton || Ammonium Sulfate
42,21,47,31.991921158850378,77.13949876518241,8.313280321737022,207.04833573499175,Cotton || Ammonium Sulfate
30,83,94,37.846123020784965,86.1181552133505,4.90435437669686,266.1141957472971,Maize || NPK 15-15-15
57,17,166,12.288042367452052,56.39653477246317,5.73538909912648,82.98862819766923,Cotton || Ammonium Sulfate
137,33,142,30.98450978607759,50.683838993623695,6.945428052393529,64.78211426465981,Cotton || Ammonium Sulfate
137,101,211,26.866522214335493,91.79591436670032,8.356216520525958,52.50109766251622,Sugarcane || Muriate of Potash
42,50,101,23.285356578104874,78.57821002212907,4.882297790650405,144.64997989910808,Cotton || Ammonium Sulfate
124,45,30,15.316824538855643,48.18092800254958,4.590196886120346,189.55536816062965,Rice || Urea
128,110,208,22.636213864506782,61.9450035605668,4.722998393881312,241.7328056203034,Rice || Urea
31,94,204,21.213806757639517,82.78710617226857,4.709622745844795,203.83477175035154,Sugarcane || Muriate of Potash
47,81,118,19.873577113447297,67.82377945510652,8.131263431109618,90.00658937796575,Wheat || DAP
118,64,56,31.0028702063774,73.99712588995334,7.385031631735298,150.82488793510697,Maize || NPK 15-15-15
60,18,93,30.218863553390857,80.22609212270314,7.208425464785114,258.4831231140773,Cotton || Ammonium Sulfate
17,56,92,27.3145223655037,72.32055132853884,6.590291281047238,118.4178549945691,Cotton || Ammonium Sulfate
36,24,44,36.40528514562768,67.40475931533175,7.627810467888608,159.69528762206355,Cotton || Ammonium Sulfate
36,57,205,21.096213988702218,79.97685706326641,5.122591971046363,270.05568031448723,Sugarcane || Muriate of Potash
30,119,78,18.33885038046467,78.65378212593204,6.06776475915375,216.32992133768744,Maize || NPK 15-15-15
39,113,138,29.053486140558388,72.79234401099073,6.460017003057374,219.4576925540061,Sugarcane || Muriate of Potash
106,91,205,17.16916558437248,56.58736480291577,4.941637990706905,100.56016105917463,Cotton || Ammonium Sulfate
37,51,149,20.19027318676904,59.348725532016296,6.178054837350068,139.52754839323075,Cotton || Ammonium Sulfate
120,69,197,17.839663441947007,93.22631293304585,5.766007117050481,59.76211914321321,Sugarcane || Muriate of Potash
70,93,36,13.797992760681032,41.74315593749155,4.6423285831738506,185.56620809212808,Maize || NPK 15-15-15
57,79,65,33.51496728252751,51.11029503517012,5.0469416109169405,64.8952394901986,Maize || NPK 15-15-15
13,21,32,18.61805411596319,64.54410555226013,7.556147292669888,240.61829972942914,Wheat || DAP
44,11,162,24.298715086918538,85.20378116862716,4.572151638018578,235.49290888479925,Sugarcane || Muriate of Potash
58,16,30,13.12619710461211,44.820539823783676,8.237013196385444,168.06522426935427,Wheat || DAP
26,89,70,30.18282612256872,51.617277087476594,4.845698529788949,73.87984796728713,Maize || NPK 15-15-15
55,12,72,20.59458605996356,38.94789306771434,7.696952376813833,46.138955966840356,Wheat || DAP
126,118,131,31.36315492355946,77.3591159630491,8.094466163773884,231.21008021021737,Rice || Urea
15,12,61,22.72247957216452,49.29256612853697,8.264542339401789,184.03371597122245,Cotton || Ammonium Sulfate
108,36,97,17.08964576654624,58.320485040257026,7.96990809398389,210.623112819492,Rice || Urea
133,123,162,25.342552139332934,61.62208682178007,5.650200157701773,112.91371017672822,Sugarcane || Muriate of Potash
46,116,64,15.393118550573433,88.47883613638734,5.832348525353908,162.2758570825395,Maize || NPK 15-15-15
33,49,55,23.454018156697863,59.67981741987421,6.206182794440304,219.3218009295161,Cotton || Ammonium Sulfate
102,111,41,20.24994241293265,43.71350119491494,5.057186757628403,151.0151939953119,Maize || NPK 15-15-15
55,42,64,35.71094918919046,66.45889630040726,4.589089820268896,184.33221346449542,Cotton || Ammonium Sulfate
104,101,105,13.584146764738719,92.77747967891779,7.976486457124139,229.53478283391095,Rice || Urea
108,10,142,30.04445276674929,71.46113846304866,6.716514864841825,91.65295486393092,Sugarcane || Muriate of Potash
125,128,45,16.751530315673335,94.00323322763435,6.934891768712865,55.822933445795755,Maize || NPK 15-15-15
76,17,119,20.295171932638233,85.4664385363322,8.207953899271182,167.63764259459322,Wheat || DAP
137,110,186,22.803365639613716,37.15794537280477,7.160480712454463,54.910184972822975,Cotton || Ammonium Sulfate
27,41,115,35.60839232374933,74.50397572262251,7.263414017359254,223.97375064802077,Cotton || Ammonium Sulfate
34,57,67,18.307034917919452,52.206012653473024,7.647874593746969,212.61074743210926,Wheat || DAP
63,116,48,14.374028866161426,68.57701133868343,4.965393799429615,251.61104115167126,Maize || NPK 15-15-15
67,110,89,20.285929703753613,51.76071145587359,5.940648612855166,193.49490352815053,Maize || NPK 15-15-15
76,13,106,14.721575233923867,55.93222499631742,8.372831710813465,56.127416980569706,Wheat || DAP
113,103,122,15.343508634974366,90.39012270525076,8.191720312402426,100.75651011750818,Wheat || DAP
33,79,70,26.920115547350694,47.39859109350232,8.036301185240738,233.9036426950526,Maize || NPK 15-15-15
123,119,146,13.583450260586826,87.44654708154982,6.30835404135589,80.11178015526106,Sugarcane || Muriate of Potash
41,127,15,12.804202916232716,36.82746848422981,7.928771814347223,207.63531227557297,Maize || NPK 15-15-15
95,28,118,30.57476663823294,40.4525923021789,4.693583527783062,227.2622394209147,Rice || Urea
136,41,44,21.402824465867155,86.28050248305581,5.09406969702847,119.22683148525788,Cotton || Ammonium Sulfate
139,18,48,15.259759080080705,72.83336185455173,6.1558707939362165,117.35139361669803,Cotton || Ammonium Sulfate
26,21,159,18.593932042352414,79.83416828237301,6.433568266728505,173.87264349019526,Sugarcane || Muriate of Potash
113,20,178,28.694249191162374,47.56506024931126,5.554028614083427,246.7087198611433,Rice || Urea
52,55,127,19.16395074566213,67.22500733540622,5.925906683391149,93.73748845923532,Sugarcane || Muriate of Potash
48,128,14,24.857549253130607,79.23315341427829,5.151104404101475,265.9019670501766,Maize || NPK 15-15-15
35,25,179,15.16407797489348,72.63884822061576,6.456536126863629,183.78848435682596,Sugarcane || Muriate of Potash
108,10,96,27.29043457774162,63.30192601347257,7.6753731714714455,278.1103531245463,Rice || Urea
59,72,218,20.218019779924866,92.58702718626289,7.145441574645223,61.50729375887743,Wheat || DAP
22,118,85,28.30117929774663,75.56944000720671,4.931168989462165,70.37491276162217,Maize || NPK 15-15-15
69,128,217,33.01826693990459,89.46504801447426,6.450326413586865,238.39403289123587,Sugarcane || Muriate of Potash
66,126,204,27.9028069041398,78.78623069442088,7.2905855311189,247.54141494492382,Sugarcane || Muriate of Potash
45,30,167,19.68943662747054,79.12781171586099,6.619581186215765,146.91008520902415,Wheat || DAP
29,39,66,18.64933624025581,39.801096185460764,6.066702386142196,211.3770822741604,Cotton || Ammonium Sulfate
74,22,136,20.512944927069647,56.567877311236614,6.987657685135513,248.21374898692923,Wheat || DAP
17,43,210,16.280133344149128,86.5021644031795,8.374554661201103,50.350669172518884,Wheat || DAP
124,13,38,16.710468122100522,48.95623172892536,4.879631639064312,177.74810151838207,Cotton || Ammonium Sulfate
101,37,174,32.557968649404366,41.93035196938797,6.060064242990243,244.8353599663575,Rice || Urea
107,111,96,22.00304698919357,54.56636339832761,6.126423412184383,135.557186700346,Maize || NPK 15-15-15
75,104,150,23.335874694835233,48.22627309355684,6.807869241873484,112.57206546698245,Cotton || Ammonium Sulfate
41,68,169,27.44528610473709,90.5172916875893,5.108698407527672,230.96960442276102,Sugarcane || Muriate of Potash
